n,k,freqs
3.4631524,-9.9629e-05,0.30255617266469104
3.4626985,0.00025854033,0.30743611093347634
3.4627583,0.0003354549,0.3123160492022617
3.4629154,0.00035342324,0.31719598747104705
3.4630516,0.0002519343,0.32207592573983235
3.4629674,0.000315105,0.3269558640086177
3.4629672,0.00020712051,0.33183580227740306
3.4629393,0.00031034145,0.3367157405461884
3.4629686,0.0003475138,0.3415956788149737
3.4630983,0.00038314835,0.34647561708375907
3.4631,0.00038793773,0.3513555553525444
3.4631748,0.00032185324,0.3562354936213297
3.4631853,0.00031806758,0.3611154318901151
3.463146,0.00021372434,0.36599537015890043
3.4631195,0.00020587211,0.37087530842768573
3.4631484,0.00024705805,0.3757552466964711
3.4631732,0.00029989483,0.38063518496525645
3.46316,0.0003389842,0.3855151232340418
3.46323,0.00026729668,0.3903950615028271
3.4632292,0.00022919467,0.39527499977161246
3.4632032,0.00023428343,0.4001549380403978
3.4631963,0.00023785811,0.4050348763091831
3.463206,0.00026589268,0.40991481457796847
3.4632263,0.0002698226,0.4147947528467538
3.4632535,0.0002657058,0.4196746911155391
3.4632607,0.00023761237,0.4245546293843245
3.463261,0.00022192157,0.42943456765310983
3.4632425,0.00021572615,0.4343145059218952
3.4632487,0.00022632236,0.4391944441906805
3.4632442,0.0002394241,0.44407438245946584
3.4632885,0.00024324216,0.4489543207282512
3.463299,0.00022483057,0.4538342589970365
3.4633505,0.00018129314,0.45871419726582185
3.4632971,0.00018117375,0.4635941355346072
3.4633467,0.00013025776,0.46847407380339257
3.4632757,0.00013468805,0.47335401207217787
3.4632921,0.00016090434,0.4782339503409632
3.4632723,0.00015358222,0.4831138886097486
3.4633088,0.00016463838,0.4879938268785339
3.4633107,0.00017552338,0.49287376514731923
3.4633007,0.00011493534,0.4977537034161046
3.4633057,0.00012600505,0.5026336416848899
3.4632754,0.00012603373,0.5075135799536753
3.4632719,0.00013485157,0.5123935182224606
3.4632702,0.000144367,0.5172734564912459
3.4632735,0.00015334491,0.5221533947600313
3.463324,0.00014833477,0.5270333330288166
3.4633234,0.00015516601,0.5319132712976019
3.4633243,0.00016600711,0.5367932095663873
3.4633052,0.00015535331,0.5416731478351726
3.4633005,0.00016827596,0.5465530861039579
3.4633,0.00017744015,0.5514330243727433
3.4633229,0.00016727087,0.5563129626415286
3.4633434,0.00015860324,0.5611929009103139
3.4633598,0.0001488153,0.5660728391790993
3.463343,0.00013759195,0.5709527774478846
3.463381,8.719055e-05,0.5758327157166699
3.4633126,0.0001448621,0.5807126539854554
3.4633336,0.00013080657,0.5855925922542407
3.4633284,0.00013749914,0.5904725305230261
3.4633455,0.0001259869,0.5953524687918114
3.4633307,0.0001165047,0.6002324070605967
3.463347,0.00010807949,0.6051123453293821
3.4633298,7.750906e-05,0.6099922835981674
3.463332,9.14853e-05,0.6148722218669527
3.463333,0.00010259546,0.6197521601357381
3.4633543,0.00012413292,0.6246320984045234
3.4633248,8.182498e-05,0.6295120366733087
3.4633255,9.554027e-05,0.6343919749420941
3.4633365,7.635415e-05,0.6392719132108794
3.46335,5.6176876e-05,0.6441518514796647
3.4633446,5.4995762e-05,0.6490317897484501
3.4633393,6.0019185e-05,0.6539117280172354
3.4633393,6.668374e-05,0.6587916662860207
3.4633424,7.1633e-05,0.6636716045548061
3.4633455,7.381478e-05,0.6685515428235914
3.4633472,7.461744e-05,0.6734314810923768
3.463347,7.6550015e-05,0.6783114193611621
3.463319,0.00010436852,0.6831913576299474
3.4633358,0.00011360366,0.6880712958987328
3.4633284,0.00011611385,0.6929512341675181
3.4633195,0.00011067331,0.6978311724363034
3.463333,0.0001246293,0.7027111107050888
3.4633813,8.975985e-05,0.7075910489738741
3.4633472,9.8809025e-05,0.7124709872426594
3.463364,8.399307e-05,0.7173509255114449
3.4633489,8.9912704e-05,0.7222308637802302
3.463366,8.5865286e-05,0.7271108020490155
3.4633493,8.615035e-05,0.7319907403178009
3.46337,8.0743666e-05,0.7368706785865862
3.4633496,7.605683e-05,0.7417506168553715
3.4633644,7.2301285e-05,0.7466305551241569
3.4633398,7.257175e-05,0.7515104933929422
3.4633555,7.577051e-05,0.7563904316617275
3.4633374,7.939602e-05,0.7612703699305129
3.4633605,8.0860234e-05,0.7661503081992982
3.463345,7.856282e-05,0.7710302464680836
3.4633644,7.489862e-05,0.7759101847368689
3.4633446,7.17532e-05,0.7807901230056542
3.4633605,7.210961e-05,0.7856700612744396
3.4633424,7.472995e-05,0.7905499995432249
3.4633634,7.7562734e-05,0.7954299378120102
3.4633415,9.160211e-05,0.8003098760807956
3.4633617,8.7477776e-05,0.8051898143495809
3.46337,5.5138655e-05,0.8100697526183662
3.4633493,7.585828e-05,0.8149496908871516
3.4633837,4.4560846e-05,0.8198296291559369
3.4633396,6.094079e-05,0.8247095674247222
3.4633648,5.6539913e-05,0.8295895056935076
3.4633362,7.8826226e-05,0.834469443962293
3.4633553,7.6793156e-05,0.8393493822310782
3.4633832,4.9282364e-05,0.8442293204998637
3.4633467,6.2432955e-05,0.849109258768649
3.4633775,6.9733156e-05,0.8539891970374344
3.4633696,8.311899e-05,0.8588691353062197
3.4633672,9.112136e-05,0.863749073575005
3.4633622,6.198287e-05,0.8686290118437904
3.4633622,7.813711e-05,0.8735089501125757
3.463368,9.2096096e-05,0.878388888381361
3.4633846,8.363467e-05,0.8832688266501464
3.4633892,4.086963e-05,0.8881487649189317
3.4633925,5.607387e-05,0.893028703187717
3.4633932,6.933806e-05,0.8979086414565024
3.4633799,6.426918e-05,0.9027885797252877
3.4633825,2.9049015e-05,0.907668517994073
3.4633858,4.483409e-05,0.9125484562628584
3.4633853,5.7271398e-05,0.9174283945316437
3.4633691,5.2716856e-05,0.922308332800429
3.46337,6.053907e-05,0.9271882710692144
3.4633558,6.010969e-05,0.9320682093379997
3.46335,7.342076e-05,0.9369481476067851
3.463362,7.3113566e-05,0.9418280858755704
3.463357,8.176343e-05,0.9467080241443557
3.463369,7.774862e-05,0.9515879624131411
3.4633455,5.0156406e-05,0.9564679006819264
3.4633546,6.7329274e-05,0.9613478389507117
3.4633913,7.161457e-05,0.9662277772194972
3.4633586,7.252244e-05,0.9711077154882825
3.463396,6.0149134e-05,0.9759876537570678
3.4634078,6.0009e-05,0.9808675920258532
3.463391,4.3571577e-05,0.9857475302946385
3.4633794,4.2649346e-05,0.9906274685634238
3.463392,2.9435098e-05,0.9955074068322092
3.46339,4.472462e-05,1.0003873451009946
3.463372,2.9594445e-05,1.0052672833697798
3.4633615,3.5241705e-05,1.0101472216385652
3.463366,4.9856433e-05,1.0150271599073506
3.4633641,6.0541483e-05,1.0199070981761358
3.4633732,5.7859826e-05,1.0247870364449212
3.463364,5.9114696e-05,1.0296669747137066
3.4633577,7.014335e-05,1.0345469129824918
3.4633694,7.202871e-05,1.0394268512512772
3.4633818,4.980291e-05,1.0443067895200626
3.4633703,5.6044635e-05,1.0491867277888478
3.4634123,5.6681907e-05,1.0540666660576332
3.4633856,3.928286e-05,1.0589466043264186
3.4633787,4.2822518e-05,1.0638265425952038
3.46341,4.10816e-05,1.0687064808639892
3.4633708,3.9927414e-05,1.0735864191327746
3.4634106,3.8440263e-05,1.0784663574015598
3.4633708,3.512531e-05,1.0833462956703452
3.463408,3.189576e-05,1.0882262339391306
3.463364,3.0333646e-05,1.0931061722079158
3.4633982,3.228335e-05,1.0979861104767012
3.4633555,3.720069e-05,1.1028660487454867
3.4633946,4.281738e-05,1.1077459870142718
3.4633586,4.6426772e-05,1.1126259252830573
3.463401,4.754069e-05,1.1175058635518427
3.4633656,4.6360106e-05,1.1223858018206279
3.4634058,4.643975e-05,1.1272657400894133
3.463367,4.798286e-05,1.1321456783581987
3.463408,5.1612307e-05,1.1370256166269839
3.4634092,5.596225e-05,1.1419055548957693
3.4634154,5.8409885e-05,1.1467854931645547
3.4634035,3.9217826e-05,1.1516654314333399
3.4633987,4.4707576e-05,1.1565453697021253
3.463423,2.3291112e-05,1.1614253079709107
3.4634273,2.9786768e-05,1.1663052462396961
3.4633973,2.014149e-05,1.1711851845084813
3.4633913,2.5979803e-05,1.1760651227772667
3.463418,1.7275077e-05,1.1809450610460521
3.4634202,2.2957083e-05,1.1858249993148373
3.4634073,2.9635175e-05,1.1907049375836227
3.4633892,4.1282124e-06,1.1955848758524081
3.4633975,1.8422561e-05,1.2004648141211933
3.4634032,2.6134967e-05,1.2053447523899787
3.4634054,3.3256212e-05,1.2102246906587641
3.4634097,3.922553e-05,1.2151046289275493
3.4633942,2.4638357e-05,1.2199845671963347
3.4633908,3.4643468e-05,1.2248645054651202
3.4634023,4.3094515e-05,1.2297444437339053
3.4634078,4.7990558e-05,1.2346243820026908
3.4634116,4.9237748e-05,1.2395043202714762
3.4634151,4.9641218e-05,1.2443842585402614
3.4634202,4.747518e-05,1.2492641968090468
3.4634328,-2.1583833e-07,1.2541441350778322
3.4634373,-3.489949e-06,1.2590240733466174
3.4634366,4.8254205e-06,1.2639040116154028
3.4634204,8.282886e-06,1.2687839498841882
3.4634016,-1.4529477e-05,1.2736638881529734
3.4634078,-1.5082631e-05,1.2785438264217588
3.4633832,3.3407e-06,1.2834237646905442
3.4633784,1.2246893e-05,1.2883037029593294
3.4633877,2.1170952e-05,1.2931836412281148
3.4633913,2.8141054e-05,1.2980635794969002
3.4633884,3.1543907e-05,1.3029435177656854
3.4633865,3.6628942e-05,1.3078234560344708
3.4633899,4.3127504e-05,1.3127033943032562
3.463378,3.954168e-05,1.3175833325720414
3.4633949,4.3689994e-05,1.3224632708408268
3.463413,1.5704012e-05,1.3273432091096122
3.4634283,2.2922872e-05,1.3322231473783974
3.463409,2.2294194e-06,1.3371030856471828
