frequencies,n_NR
0.0,(11.623764900205867+7.490682167507517e-96j)
0.004879938268785339,(4.940660088356635-1.0414957822284165j)
0.009759876537570678,(3.9032961657577956-0.3462902332434866j)
0.014639814806356018,(3.5745460037099615-0.14304232936359584j)
0.019519753075141356,(3.4338034813652323-0.04376284867021938j)
0.024399691343926694,(3.364580147375676+0.03546616051153233j)
0.029279629612712035,(3.345506627893631+0.12497246484046973j)
0.03415956788149737,(3.4099156877715964+0.21729161099894317j)
0.03903950615028271,(3.5473451780950964+0.19789815562998375j)
0.04391944441906805,(3.585812637904074+0.08887449393383794j)
0.04879938268785339,(3.5540773255082128+0.022231620525378654j)
0.05367932095663873,(3.5145982383130714-0.002812075831413998j)
0.05855925922542407,(3.4822964936481657-0.002656902659870514j)
0.06343919749420941,(3.4675704711839694+0.020183723759449212j)
0.06831913576299474,(3.5029731612470685+0.03113658947510159j)
0.07319907403178008,(3.5061612855395548-0.011461051963337028j)
0.07807901230056542,(3.4821342990815713-0.02531859591915892j)
0.08295895056935076,(3.4643062165583185-0.023965431261915672j)
0.0878388888381361,(3.4527756461446657-0.017155453366051204j)
0.09271882710692143,(3.446920520693127-0.0074715399361873725j)
0.09759876537570678,(3.4476481544462887+0.002730307347023045j)
0.10247870364449212,(3.454382712557977+0.0088633161272907j)
0.10735864191327746,(3.461658598503326+0.008038943517154814j)
0.1122385801820628,(3.464634497739548+0.0038125566036325232j)
0.11711851845084814,(3.464033767774829+0.0005273724750787061j)
0.12199845671963347,(3.4623043683410724-0.0006426401798457078j)
0.12687839498841882,(3.4610134953137424-0.00022874574424549063j)
0.13175833325720415,(3.460802969119973+0.000804109859692391j)
0.13663827152598948,(3.461574495788899+0.001481393371601658j)
0.14151820979477484,(3.4625958737725355+0.0012483465080257755j)
0.14639814806356016,(3.4630476930316143+0.00035532093894473946j)
0.15127808633234552,(3.4627214175618684-0.00047701800867153734j)
0.15615802460113085,(3.4620021286541274-0.0007689391251757628j)
0.16103796286991617,(3.461379855611281-0.0005084200175444443j)
0.16591790113870153,(3.4611467789313743+2.9933518580491055e-05j)
0.17079783940748686,(3.461330438001016+0.0004965237278248624j)
0.1756777776762722,(3.4617232190359104+0.0006387809884076806j)
0.18055771594505754,(3.4620130552796424+0.00044247952240756427j)
0.18543765421384287,(3.462007885847598+0.00012973981033469382j)
0.19031759248262822,(3.461766357841719-3.952576632899146e-05j)
0.19519753075141355,(3.4615029448755816+3.100984205271261e-05j)
0.2000774690201989,(3.4614022154727873+0.00024675341959655753j)
0.20495740728898423,(3.461506910006831+0.00042356727197340166j)
0.20983734555776956,(3.4617090783153412+0.00041605952018168563j)
0.21471728382655492,(3.461828745352384+0.00021600531899825185j)
0.21959722209534024,(3.4617487362211707-3.956174709629059e-05j)
0.2244771603641256,(3.4615055354491084-0.00017840445113919852j)
0.22935709863291093,(3.4612475639321083-0.00012684641267169083j)
0.23423703690169628,(3.461114127981744+5.4717755055404307e-05j)
0.2391169751704816,(3.4611496748502293+0.00023477724468595922j)
0.24399691343926694,(3.4612933151954386+0.00029889638834862376j)
0.2488768517080523,(3.4614248628352877+0.000214307441332625j)
0.25375678997683765,(3.4614415624044654+4.656283145245724e-05j)
0.25863672824562295,(3.46132620366076-8.649335848831912e-05j)
0.2635166665144083,(3.461155169046691-9.957963714765591e-05j)
0.26839660478319366,(3.4610362692503034+3.0124472742884e-06j)
0.27327654305197896,(3.461030927811038+0.0001418399278574312j)
0.2781564813207643,(3.461120428076304+0.00022538507138891421j)
0.28303641958954967,(3.4612286686011067+0.00021014857632476507j)
0.28791635785833497,(3.4612769058794997+0.0001229676203070603j)
0.2927962961271203,(3.4612349191798124+3.7518863914558085e-05j)
0.2976762343959057,(3.4611374906285883+2.2009727530373486e-05j)
0.30255617266469104,(3.461056318525546+9.347899141133744e-05j)
0.30743611093347634,(3.461048491597142+0.00021000879248606435j)
0.3123160492022617,(3.4611188624794074+0.00030403295027038824j)
0.31719598747104705,(3.461221548803851+0.00033062686126843606j)
0.32207592573983235,(3.4612967130560097+0.00029580454001677515j)
0.3269558640086177,(3.4613136546913603+0.000246025714711317j)
0.33183580227740306,(3.461288229982025+0.000230097336597338j)
0.3367157405461884,(3.4612650609487505+0.00026447775536530014j)
0.3415956788149737,(3.461282353794033+0.0003259490338664074j)
0.34647561708375907,(3.461345883039859+0.0003722224422362177j)
0.3513555553525444,(3.4614278339067286+0.00037301535168938793j)
0.3562354936213297,(3.4614886884714724+0.0003301197939218192j)
0.3611154318901151,(3.4615055970397477+0.00027341903711106954j)
0.36599537015890043,(3.4614862737028087+0.00023716510757531843j)
0.37087530842768573,(3.461459275894417+0.00023599190966212602j)
0.3757552466964711,(3.46145109232189+0.00025858590780826035j)
0.38063518496525645,(3.461468944256844+0.000280391583409383j)
0.3855151232340418,(3.4614999089870824+0.00028264534265894586j)
0.3903950615028271,(3.461523457615963+0.00026393626529768474j)
0.39527499977161246,(3.4615268476090986+0.00023838894137095872j)
0.4001549380403978,(3.4615131313605496+0.00022373759035837468j)
0.4050348763091831,(3.4614974515485533+0.00022828729257715817j)
0.40991481457796847,(3.4614951892986663+0.00024566648287761763j)
0.4147947528467538,(3.4615108103009504+0.0002604786867759051j)
0.4196746911155391,(3.4615353510989437+0.0002601707246903397j)
0.4245546293843245,(3.461553941896925+0.00024414098872045593j)
0.42943456765310983,(3.461557328038959+0.00022346785860709762j)
0.4343145059218952,(3.461548579371192+0.00021189313422564508j)
0.4391944441906805,(3.4615401881099155+0.00021528564910129697j)
0.44407438245946584,(3.4615443147003733+0.00022755957794928032j)
0.4489543207282512,(3.4615638738647254+0.00023556622257476863j)
0.4538342589970365,(3.461590767194921+0.00022865555789458478j)
0.45871419726582185,(3.4616117678174017+0.00020583494335868453j)
0.4635941355346072,(3.461617348329749+0.00017601317479826268j)
0.46847407380339257,(3.4616074727120316+0.00015185526877722417j)
0.47335401207217787,(3.461590942630689+0.00014169088406593844j)
0.4782339503409632,(3.461579168017794+0.000144754289825517j)
0.4831138886097486,(3.4615787273821033+0.00015263381420259044j)
0.4879938268785339,(3.4615877135642736+0.0001555940169553228j)
0.49287376514731923,(3.4615980499879315+0.00014916852601809682j)
0.4977537034161046,(3.4616016894624804+0.00013654612282307563j)
0.5026336416848899,(3.461596144734567+0.0001255658728845794j)
0.5075135799536753,(3.461585732107124+0.0001228677722945998j)
0.5123935182224606,(3.461578084341312+0.00012935442588566615j)
0.5172734564912459,(3.461578635738133+0.00013994271841970496j)
0.5221533947600313,(3.4615870382865133+0.00014752780637921088j)
0.5270333330288166,(3.4615979628944724+0.0001480787530002774j)
0.5319132712976019,(3.4616053944593546+0.0001430844584368291j)
0.5367932095663873,(3.4616070022237486+0.00013781457707061985j)
0.5416731478351726,(3.4616054739601627+0.00013705170828704199j)
0.5465530861039579,(3.4616061832125338+0.00014149813436608734j)
0.5514330243727433,(3.461613054145777+0.00014725952847659783j)
0.5563129626415286,(3.4616255306562778+0.000148638230152564j)
0.5611929009103139,(3.4616387687097014+0.0001422507367628031j)
0.5660728391790993,(3.4616469343812355+0.0001295094731975801j)
0.5709527774478846,(3.4616471894584455+0.0001156570720861848j)
0.5758327157166699,(3.4616414462368494+0.00010614510291090748j)
0.5807126539854554,(3.4616347557354863+0.0001030793555832995j)
0.5855925922542407,(3.461631686686925+0.0001042041621113878j)
0.5904725305230261,(3.4616333302945446+0.00010493708804389786j)
0.5953524687918114,(3.461636953347084+0.00010184758814307984j)
0.6002324070605967,(3.4616383879418167+9.50525404690657e-05j)
0.6051123453293821,(3.4616352884170443+8.787114458137992e-05j)
0.6099922835981674,(3.461628836997372+8.41609521355301e-05j)
0.6148722218669527,(3.4616227782501614+8.542637834913726e-05j)
0.6197521601357381,(3.4616206762210386+8.976330731168645e-05j)
0.6246320984045234,(3.461623417585358+9.322362311086733e-05j)
0.6295120366733087,(3.4616286177423423+9.252586998072949e-05j)
0.6343919749420941,(3.461632229538002+8.725691470484196e-05j)
0.6392719132108794,(3.4616312230417696+8.013110211735539e-05j)
0.6441518514796647,(3.4616255368784112+7.51827829190785e-05j)
0.6490317897484501,(3.4616180205027702+7.514627299749835e-05j)
0.6539117280172354,(3.4616124654699494+7.979953874996687e-05j)
0.6587916662860207,(3.4616111158882785+8.635628274513839e-05j)
0.6636716045548061,(3.4616133813699426+9.157296379457155e-05j)
0.6685515428235914,(3.4616166293488386+9.403822175917278e-05j)
0.6734314810923768,(3.461618430647669+9.496339131460411e-05j)
0.6783114193611621,(3.461618523029113+9.69084960422428e-05j)
0.6831913576299474,(3.4616189829186936+0.00010148686323969782j)
0.6880712958987328,(3.4616225364110513+0.00010785335733400894j)
0.6929512341675181,(3.461630349971734+0.0001130827182915864j)
0.6978311724363034,(3.4616409176755525+0.00011410556104364021j)
0.7027111107050888,(3.4616508132124393+0.00010982338808710895j)
0.7075910489738741,(3.4616568046561382+0.0001019338878740019j)
0.7124709872426594,(3.461657876396162+9.385441799222358e-05j)
0.7173509255114449,(3.4616557066349465+8.849014388804871e-05j)
0.7222308637802302,(3.4616532873157997+8.648414854133064e-05j)
0.7271108020490155,(3.4616527936588577+8.616773547162516e-05j)
0.7319907403178009,(3.4616542566542012+8.507095672199247e-05j)
0.7368706785865862,(3.4616558306139216+8.180412076300622e-05j)
0.7417506168553715,(3.461655327347976+7.70532677383562e-05j)
0.7466305551241569,(3.46165195728993+7.30801983726412e-05j)
0.7515104933929422,(3.4616470870172766+7.20409242462787e-05j)
0.7563904316617275,(3.461643386728325+7.428093349546497e-05j)
0.7612703699305129,(3.4616429034183382+7.793846964780303e-05j)
0.7661503081992982,(3.4616455405087554+8.02492867716647e-05j)
0.7710302464680836,(3.4616491534612686+7.955102122285805e-05j)
0.7759101847368689,(3.461651161107999+7.644838283091355e-05j)
0.7807901230056542,(3.461650454589972+7.331364450611136e-05j)
0.7856700612744396,(3.4616482474196197+7.249395183689705e-05j)
0.7905499995432249,(3.461647229727173+7.44647399142871e-05j)
0.7954299378120102,(3.461649532050764+7.728728601823063e-05j)
0.8003098760807956,(3.461654954604241+7.790240085658077e-05j)
0.8051898143495809,(3.461660869130996+7.439446512061492e-05j)
0.8100697526183662,(3.4616639559776474+6.751753369078079e-05j)
0.8149496908871516,(3.461662503261164+6.0319225895605745e-05j)
0.8198296291559369,(3.4616576005011366+5.614163715256056e-05j)
0.8247095674247222,(3.4616524022121427+5.6420477334442106e-05j)
0.8295895056935076,(3.461649986024637+5.980743263392819e-05j)
0.834469443962293,(3.4616512982845107+6.322610237588002e-05j)
0.8393493822310782,(3.4616546417430976+6.411631068031486e-05j)
0.8442293204998637,(3.461657068151184+6.225023826756584e-05j)
0.849109258768649,(3.461656648562455+5.981173978291191e-05j)
0.8539891970374344,(3.46165397099404+5.9707727891318884e-05j)
0.8588691353062197,(3.461651805273109+6.33429834002685e-05j)
0.863749073575005,(3.461653185962219+6.943678337806107e-05j)
0.8686290118437904,(3.461659258310453+7.471015899507558e-05j)
0.8735089501125757,(3.461668385700704+7.5969252267116e-05j)
0.878388888381361,(3.461677132892075+7.21399693312764e-05j)
0.8832688266501464,(3.4616824212312576+6.485344205047824e-05j)
0.8881487649189317,(3.461683339382463+5.722437031507313e-05j)
0.893028703187717,(3.4616813799404236+5.174817677803212e-05j)
0.8979086414565024,(3.4616790311519052+4.8827471350317194e-05j)
0.9027885797252877,(3.4616778184290653+4.6927680598448984e-05j)
0.907668517994073,(3.4616772422553863+4.4164449268159383e-05j)
0.9125484562628584,(3.461675382444908+4.008890959406484e-05j)
0.9174283945316437,(3.461670694521881+3.627855180149627e-05j)
0.922308332800429,(3.4616635802920737+3.5232838870273034e-05j)
0.9271882710692144,(3.4616564491722817+3.84195371013546e-05j)
0.9320682093379997,(3.461652189103531+4.502030679984578e-05j)
0.9369481476067851,(3.4616522298963943+5.234735616077235e-05j)
0.9418280858755704,(3.4616556402401213+5.759275211307102e-05j)
0.9467080241443557,(3.4616598790140376+5.9632517381617916e-05j)
0.9515879624131411,(3.461662655581956+5.961445664105837e-05j)
0.9564679006819264,(3.4616635781272613+5.9892818356444786e-05j)
0.9613478389507117,(3.461664356743744+6.205595905674732e-05j)
0.9662277772194972,(3.461667366455993+6.553583072784162e-05j)
0.9711077154882825,(3.4616736605666154+6.787397957026993e-05j)
0.9759876537570678,(3.461681921903893+6.642191208609122e-05j)
0.9808675920258532,(3.46168906194481+6.024092898287461e-05j)
0.9857475302946385,(3.4616920417006205+5.094378215642281e-05j)
0.9906274685634238,(3.46168977245215+4.191991235900348e-05j)
0.9955074068322092,(3.461683857359304+3.634284043696156e-05j)
1.0003873451009946,(3.461677548429286+3.5233000164031426e-05j)
1.0052672833697798,(3.4616735506821326+3.7013674226933655e-05j)
1.0101472216385652,(3.461672318614426+3.894312668417647e-05j)
1.0150271599073506,(3.4616721357027407+3.927494668832263e-05j)
1.0199070981761358,(3.4616707986204247+3.847789743376219e-05j)
1.0247870364449212,(3.4616675601868803+3.869230947626539e-05j)
1.0296669747137066,(3.461663917407363+4.1888389463032174e-05j)
1.0345469129824918,(3.4616626511507946+4.8066602577783146e-05j)
1.0394268512512772,(3.4616657549030476+5.488106490793942e-05j)
1.0443067895200626,(3.46167281842122+5.9075302320816635e-05j)
